"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEETURL";"DESCRIPTION";"DIST";"DIST_ID";"FAMILY_NAME";"GENERIC_PART_NUMBER";"INDUSTRY_STD_PKG_TYPE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"PACKAGE_DESIGNATOR";"PIN_COUNT";"PROD_ID";"RS-NUMBER";"SUPPLIER-ID";"VALUE";"VENDOR";
"2";"";"JUMPER-PAD-3-2OF3_NC_BY_TRACE_SMALL";"PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX";"SJ1, SJ2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"0.1µF";"C-EUC0603K";"C0603K";"C6, C7, C9, C10, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"0.47µF";"C-EUC0603K";"C0603K";"CS3, CS5, CS13, CS15, CS23, CS25, CS33, CS35";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1";"R-EU_R0603";"R0603";"R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1 µF";"C-EUC0603K";"C0603K";"C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.8";"R-EU_R0603";"R0603";"R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100nF";"C-EUC0603";"C0603";"CS18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"100nF";"C-EUC0603K";"C0603K";"CS8, CS9, CS19, CS28, CS29, CS38, CS39";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"10k";"R-EU_R0603";"R0603";"R1, R6, R7, R8, R10, R11, R14, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"10nF";"C-EUC0603K";"C0603K";"C13, CS1, CS2, CS11, CS12, CS21, CS22, CS31, CS32";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"10µF";"C-EUC0603K";"C0603K";"C1, C5, C20, C22, C25, C28";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"10µF";"CAP_POL1206";"EIA3216";"C14, C15, C18, C19, C24, C27";"Capacitor Polarized";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"188";"R-EU_R0603";"R0603";"R2, R4, R12, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
